FECHA_RESULTADO,DEPARTAMENTO,SEXO,casos_positivos
2020-04-02,LORETO,MASCULINO,4
2020-04-02,PIURA,FEMENINO,1
2020-04-02,TUMBES,FEMENINO,2
2020-04-02,TUMBES,MASCULINO,2
2020-04-03,CAJAMARCA,FEMENINO,1
2020-04-03,CAJAMARCA,MASCULINO,1
2020-04-03,CALLAO,FEMENINO,2
2020-04-03,CALLAO,MASCULINO,10
2020-04-03,CUSCO,FEMENINO,3
2020-04-03,CUSCO,MASCULINO,1
2020-04-03,HUANCAVELICA,FEMENINO,1
2020-04-03,ICA,FEMENINO,2
2020-04-03,ICA,MASCULINO,2
2020-04-03,JUNIN,FEMENINO,4
2020-04-03,JUNIN,MASCULINO,4
2020-04-03,LA LIBERTAD,FEMENINO,2
2020-04-03,LA LIBERTAD,MASCULINO,3
2020-04-03,LAMBAYEQUE,FEMENINO,12
2020-04-03,LAMBAYEQUE,MASCULINO,19
2020-04-03,LIMA,FEMENINO,60
2020-04-03,LIMA,MASCULINO,102
2020-04-03,LORETO,FEMENINO,9
2020-04-03,LORETO,MASCULINO,16
2020-04-03,PASCO,MASCULINO,1
2020-04-03,PIURA,FEMENINO,1
2020-04-03,PIURA,MASCULINO,1
2020-04-03,SAN MARTIN,FEMENINO,2
2020-04-03,SAN MARTIN,MASCULINO,1
2020-04-03,TUMBES,MASCULINO,6
2020-04-03,UCAYALI,FEMENINO,1
2020-04-04,ANCASH,FEMENINO,2
2020-04-04,ANCASH,MASCULINO,7
2020-04-04,AREQUIPA,FEMENINO,6
2020-04-04,AREQUIPA,MASCULINO,8
2020-04-04,AYACUCHO,FEMENINO,2
2020-04-04,CALLAO,FEMENINO,15
2020-04-04,CALLAO,MASCULINO,155
2020-04-04,CUSCO,FEMENINO,5
2020-04-04,CUSCO,MASCULINO,6
2020-04-04,ICA,FEMENINO,1
2020-04-04,ICA,MASCULINO,4
2020-04-04,LA LIBERTAD,MASCULINO,1
2020-04-04,LAMBAYEQUE,FEMENINO,11
2020-04-04,LAMBAYEQUE,MASCULINO,37
2020-04-04,LIMA,FEMENINO,219
2020-04-04,LIMA,MASCULINO,260
2020-04-04,LORETO,FEMENINO,19
2020-04-04,LORETO,MASCULINO,21
2020-04-04,MOQUEGUA,FEMENINO,1
2020-04-04,PASCO,MASCULINO,1
2020-04-04,PIURA,FEMENINO,2
2020-04-04,PIURA,MASCULINO,3
2020-04-04,SAN MARTIN,MASCULINO,1
2020-04-04,TACNA,FEMENINO,4
2020-04-04,TACNA,MASCULINO,1
2020-04-04,TUMBES,FEMENINO,3
2020-04-04,TUMBES,MASCULINO,2
