FECHA_FALLECIMIENTO,DEPARTAMENTO,SEXO,defunciones
2020-04-05,AREQUIPA,MASCULINO,1
2020-04-05,CALLAO,MASCULINO,2
2020-04-05,HUANUCO,MASCULINO,1
2020-04-05,HUANUCO,FEMENINO,1
2020-04-05,ICA,MASCULINO,2
2020-04-05,ICA,FEMENINO,1
2020-04-05,JUNIN,MASCULINO,2
2020-04-05,LA LIBERTAD,FEMENINO,1
2020-04-05,LAMBAYEQUE,MASCULINO,3
2020-04-05,LAMBAYEQUE,FEMENINO,2
2020-04-05,LIMA,MASCULINO,15
2020-04-05,LIMA,FEMENINO,5
2020-04-05,LORETO,MASCULINO,3
2020-04-05,LORETO,FEMENINO,2
2020-04-05,PIURA,FEMENINO,2
2020-04-05,SAN MARTIN,FEMENINO,1
2020-04-06,APURIMAC,MASCULINO,1
2020-04-06,AREQUIPA,MASCULINO,1
2020-04-06,CAJAMARCA,FEMENINO,1
2020-04-06,CALLAO,MASCULINO,5
2020-04-06,CALLAO,FEMENINO,1
2020-04-06,CUSCO,FEMENINO,1
2020-04-06,ICA,MASCULINO,1
2020-04-06,ICA,FEMENINO,2
2020-04-06,LA LIBERTAD,MASCULINO,2
2020-04-06,LA LIBERTAD,FEMENINO,1
2020-04-06,LAMBAYEQUE,MASCULINO,7
2020-04-06,LAMBAYEQUE,FEMENINO,1
2020-04-06,LIMA,MASCULINO,25
2020-04-06,LIMA,FEMENINO,8
2020-04-06,LORETO,MASCULINO,1
2020-04-06,PIURA,MASCULINO,2
2020-04-06,PIURA,FEMENINO,1
2020-04-06,TUMBES,MASCULINO,1
2020-04-06,TUMBES,FEMENINO,1
2020-04-06,UCAYALI,FEMENINO,1
2020-04-07,ANCASH,MASCULINO,3
2020-04-07,AREQUIPA,MASCULINO,1
2020-04-07,AREQUIPA,FEMENINO,1
2020-04-07,CALLAO,MASCULINO,1
2020-04-07,CALLAO,FEMENINO,1
2020-04-07,LAMBAYEQUE,MASCULINO,3
2020-04-07,LAMBAYEQUE,FEMENINO,2
2020-04-07,LIMA,MASCULINO,23
2020-04-07,LIMA,FEMENINO,8
2020-04-07,LORETO,MASCULINO,1
2020-04-07,PIURA,MASCULINO,2
2020-04-07,PIURA,FEMENINO,1
2020-04-07,UCAYALI,FEMENINO,1
2020-04-08,ANCASH,MASCULINO,2
2020-04-08,AREQUIPA,FEMENINO,1
2020-04-08,AYACUCHO,MASCULINO,1
2020-04-08,CAJAMARCA,MASCULINO,1
2020-04-08,CALLAO,MASCULINO,4
2020-04-08,ICA,FEMENINO,1
2020-04-08,JUNIN,MASCULINO,3
2020-04-08,JUNIN,FEMENINO,1
2020-04-08,LA LIBERTAD,MASCULINO,1
2020-04-08,LA LIBERTAD,FEMENINO,1
2020-04-08,LAMBAYEQUE,MASCULINO,8
2020-04-08,LAMBAYEQUE,FEMENINO,2
2020-04-08,LIMA,MASCULINO,44
2020-04-08,LIMA,FEMENINO,21
2020-04-08,LORETO,MASCULINO,2
2020-04-08,PASCO,MASCULINO,1
2020-04-08,PIURA,MASCULINO,2
2020-04-08,PIURA,FEMENINO,1
2020-04-08,TUMBES,MASCULINO,2
2020-04-08,UCAYALI,FEMENINO,1
2020-04-09,ANCASH,MASCULINO,1
2020-04-09,AREQUIPA,MASCULINO,1
2020-04-09,CALLAO,MASCULINO,5
2020-04-09,CALLAO,FEMENINO,1
2020-04-09,HUANCAVELICA,MASCULINO,1
2020-04-09,ICA,MASCULINO,3
2020-04-09,ICA,FEMENINO,2
2020-04-09,JUNIN,MASCULINO,2
2020-04-09,LA LIBERTAD,FEMENINO,1
2020-04-09,LAMBAYEQUE,MASCULINO,6
2020-04-09,LAMBAYEQUE,FEMENINO,3
2020-04-09,LIMA,MASCULINO,31
2020-04-09,LIMA,FEMENINO,20
2020-04-09,LORETO,FEMENINO,2
2020-04-09,PIURA,MASCULINO,1
2020-04-09,PIURA,FEMENINO,1
2020-04-09,PUNO,FEMENINO,1
2020-04-09,TUMBES,MASCULINO,1
2020-04-09,UCAYALI,MASCULINO,1
2020-04-10,ANCASH,MASCULINO,1
2020-04-10,AREQUIPA,FEMENINO,1
2020-04-10,CALLAO,MASCULINO,8
2020-04-10,CALLAO,FEMENINO,2
2020-04-10,HUANUCO,MASCULINO,1
2020-04-10,ICA,MASCULINO,1
2020-04-10,JUNIN,MASCULINO,1
2020-04-10,JUNIN,FEMENINO,1
2020-04-10,LAMBAYEQUE,MASCULINO,12
2020-04-10,LAMBAYEQUE,FEMENINO,6
2020-04-10,LIMA,MASCULINO,38
2020-04-10,LIMA,FEMENINO,14
2020-04-10,LORETO,MASCULINO,4
2020-04-10,LORETO,FEMENINO,3
2020-04-10,PIURA,MASCULINO,5
2020-04-10,PIURA,FEMENINO,4
2020-04-10,TUMBES,MASCULINO,1
2020-04-10,UCAYALI,MASCULINO,1
2020-04-10,UCAYALI,FEMENINO,2
2020-04-11,ANCASH,FEMENINO,1
2020-04-11,AREQUIPA,MASCULINO,1
2020-04-11,CAJAMARCA,FEMENINO,2
2020-04-11,CALLAO,MASCULINO,10
2020-04-11,CALLAO,FEMENINO,2
2020-04-11,CUSCO,MASCULINO,1
2020-04-11,ICA,FEMENINO,1
2020-04-11,LA LIBERTAD,MASCULINO,1
2020-04-11,LAMBAYEQUE,MASCULINO,9
